pubchem_id,flavor_id
2879,13
2879,15
2879,87
7895,47
7895,93
7895,37
7895,33
7895,153
7895,38
7895,41
7895,39
7895,30
7895,12
7895,20
6561,157
6561,90
6561,29
6561,107
6561,71
6561,22
11552,158
11552,63
11552,139
11552,33
11552,157
11552,70
11552,71
323,30
323,159
323,22
323,160
323,64
7150,161
7150,162
7150,29
7150,163
7150,164
7150,30
7150,26
7150,165
7150,87
637566,66
637566,74
637566,59
637566,29
637566,30
637566,20
637566,166
439341,54
439341,30
33931,167
33931,119
33931,30
33931,168
6072,64
12587,107
12587,102
5281708,64
240,169
240,26
240,30
240,137
240,19
240,170
240,64
244,171
244,27
244,74
244,29
244,172
244,30
244,169
244,87
244,173
244,97
441484,30
441484,64
1889,64
4788,54
4788,64
6184,174
6184,9
6184,175
6184,176
6184,69
6184,90
6184,70
6184,20
6184,71
6184,22
11128,64
8723,104
8723,111
8723,157
8723,153
8723,20
12756,177
12756,143
12756,178
12756,18
12756,30
338,25
338,0
338,87
11005,70
11005,92
11005,59
11005,177
1183,179
1183,139
1183,30
1183,50
5280511,180
5280511,181
5280511,182
5280511,64
5280511,30
5280511,31
5280511,114
5280511,113
5280511,22
5315892,114
5315892,113
5315892,181
5315892,30
5315892,182
5315892,31
5315892,22
5315892,64
15394,183
15394,184
15394,124
15394,111
15394,185
15394,107
784,64
14286,143
14286,42
14286,70
14286,186
14286,140
14286,133
14286,187
8892,70
8892,63
8892,100
8892,102
853433,188
853433,189
853433,29
853433,30
853433,12
853433,173
853433,113
853433,87
7654,143
7654,74
7654,29
7654,30
7654,85
7654,20
7654,150
702,190
702,33
702,10
702,30
702,170
999,191
999,63
999,59
999,29
999,30
999,85
999,6
999,173
643941,35
643941,70
643941,20
643941,192
643941,148
643941,127
643941,22
637511,17
637511,117
637511,193
637511,194
637511,189
637511,30
637511,168
637511,195
8063,196
8063,197
8063,171
8063,157
8063,107
8063,20
8063,25
8063,26
637775,54
8452,147
6986,198
6986,90
6986,145
6986,30
6986,199
6986,147
6986,22
6054,200
6054,74
6054,201
6054,85
6054,202
6054,29
6054,17
6054,64
6054,203
439263,146
439263,147
439263,30
439263,144
7937,196
7937,42
7937,12
7937,11
7937,25
7937,129
1110,63
1110,54
5284639,64
5280443,64
5318042,174
5318042,93
5318042,204
5318042,153
5318042,22
5318042,90
5318042,39
5318042,205
5318042,20
5318042,192
5318042,172
3893,177
3893,62
3893,70
3893,76
3893,206
31260,180
31260,190
31260,72
31260,152
31260,157
31260,38
31260,207
31260,20
107,27
107,74
107,70
107,30
107,208
107,195
10393,29
10393,30
10393,20
10393,62
7847,169
7847,26
441005,18
441005,12
441005,209
441005,210
441005,13
441005,211
6050,59
6050,64
6050,70
6050,102
6050,50
10797,33
10797,212
10797,139
13144,54
650,55
650,119
650,42
650,50
650,30
650,107
650,170
638278,64
444539,213
444539,30
444539,85
444539,31
5280598,29
5280598,147
8768,26
8768,10
8768,64
8768,211
1032,99
1032,214
1032,215
1032,216
1032,101
1032,107
445070,73
445070,217
445070,62
445070,189
445070,90
445070,59
445070,29
445070,218
445070,30
445070,219
445070,220
445070,31
445070,221
445070,222
445070,97
107971,64
10448,34
10448,47
10448,111
10448,48
10448,30
10448,223
638011,65
638011,66
638011,64
638011,30
638011,19
638011,198
6560,16
6560,37
6560,153
6560,64
284,107
284,216
284,224
985,70
985,225
6590,101
6590,55
6590,226
6590,102
6584,30
6584,64
6584,37
6584,20
5367719,227
5367719,82
5367719,90
5367719,59
5367719,29
5367719,42
5367719,228
5367719,229
72,87
72,27
72,62
89594,64
5280863,64
8103,180
8103,190
8103,33
8103,230
8103,207
8103,30
8103,20
8103,173
8103,22
10430,63
10430,100
10430,231
10430,232
10430,175
10430,3
10430,101
10430,150
10430,233
10430,102
439533,64
6251,54
6251,30
802,63
802,54
802,62
49,20
79803,234
79803,235
8868,35
8868,90
8868,70
8868,20
8868,22
26447,236
26447,237
26447,145
26447,238
26447,18
26447,239
26447,64
26447,146
1549026,59
1549026,74
1549026,240
1549026,22
1549026,29
1549026,64
5363388,35
5363388,90
5363388,38
5363388,30
5363388,20
5363388,148
5363388,22
30914,49
30914,24
30914,133
30914,139
30914,25
30914,241
30914,77
30914,103
30914,140
30914,64
30914,187
7858,184
7858,107
31268,242
31268,130
31268,3
31268,235
31268,129
439246,64
9862,204
9862,35
9862,46
9862,66
9862,23
9862,122
9862,25
9862,22
9862,103
9862,64
9862,243
768,64
2345,180
2345,36
2345,27
2345,18
2345,226
2345,42
2345,0
2345,30
2345,31
2345,169
2345,26
2345,165
2345,102
5284503,244
5284503,64
5284503,90
5284503,70
5284503,43
5284503,245
5284503,22
8857,36
8857,33
8857,30
8857,219
8857,20
8857,31
8857,127
8857,22
5365811,33
5365811,107
5365811,150
5365811,58
5365811,113
5365811,22
643779,65
643779,246
643779,30
643779,247
2969,63
2969,66
2969,69
2969,101
2969,70
2969,248
7362,249
7362,132
7362,12
7362,30
7362,250
7362,26
61020,251
61020,30
61020,107
61020,20
61020,169
61020,25
61020,26
7288,33
7288,212
7288,37
85730,119
85730,252
85730,20
1031,190
1031,197
1031,93
1031,23
1031,207
1031,107
1031,51
8130,66
8130,253
8130,69
8130,18
8130,90
8130,254
8130,101
8130,70
8130,71
8130,22
180,16
180,35
180,222
180,33
6569,33
6569,37
6569,20
6569,212
6569,237
61503,215
61503,54
126,12
126,30
126,31
126,25
126,26
5280445,64
637542,31
637542,27
12209,255
12209,38
12209,39
12209,30
12209,51
12209,256
5372954,30
5372954,85
5372954,31
5372954,213
5372954,195
8468,181
8468,179
8468,257
8468,258
8468,30
8468,50
8468,21
643731,259
643731,70
643731,260
643731,211
643731,192
643731,261
643731,22
7344,167
7344,55
7344,262
7344,19
7344,39
7344,20
7344,263
5366074,35
5366074,143
5366074,74
5366074,264
5366074,30
5366074,85
25915,257
25915,39
25915,30
25915,24
460,17
460,179
460,264
460,30
460,12
460,87
460,13
460,15
460,154
7824,36
7824,37
7824,90
7824,39
7824,30
7824,20
31276,64
31276,16
31276,38
31276,20
31276,30
332,265
332,264
332,189
332,51
332,113
7997,16
7997,207
7997,222
7997,266
7997,239
7997,64
7997,20
8369,119
8369,267
8369,132
8369,268
8369,30
8369,20
8369,250
8369,168
32065,77
32065,269
32065,104
32065,47
32065,43
32065,250
32065,51
12366,62
12366,259
12366,258
12366,59
12366,50
12366,20
12366,31
8158,270
8158,69
8158,59
8158,22
8158,271
8158,102
8908,35
8908,30
8908,38
8908,39
8908,22
8908,165
8908,64
8908,20
19309,119
19309,226
19309,60
19309,268
19309,30
19309,272
19309,168
19309,26
11173,240
11173,20
11173,165
11173,22
10883,171
10883,36
10883,29
10883,30
10883,20
10883,273
10883,22
11559,98
7361,24
7361,190
7361,64
7361,23
7361,75
7361,119
7361,30
7361,72
7361,132
12170,151
12170,30
12170,20
12170,38
7359,33
7359,11
7359,30
7359,20
7359,22
5960,54
880,251
880,33
880,215
880,30
880,61
5365891,98
5367531,274
5367531,113
7795,275
7795,276
7795,152
7795,38
7795,277
7795,278
7795,228
7795,20
7795,222
7795,22
20083,69
20083,18
20083,90
20083,43
20083,12
20083,46
20083,113
20083,22
10558,184
10558,48
10558,279
16617,35
16617,36
16617,38
16617,20
16617,22
222656,54
5283349,66
5283349,73
5283349,269
5283349,259
5283349,280
5283349,69
5283349,90
