ingredient_id,pubchem_id
94,14228
94,62835
94,522676
94,8158
94,1032
94,65285
94,643820
94,5284421
94,11552
94,445070
94,7921
4134,7362
4134,20653
4134,5364399
4134,61386
4134,12327
4134,7762
4134,8051
4134,6560
4134,8468
4134,7344
4134,8073
4134,6054
4134,9589
4134,8025
4134,957
4134,5363388
4134,8094
4134,460
4134,7361
4134,6584
4134,19310
4134,7711
4134,5318042
4134,7749
4134,126
4134,263
4134,8103
4134,61814
4134,1049
4134,9256
4134,1136
4134,8091
4134,326
4134,8892
4134,379
4134,14286
4134,11508
4134,8038
4134,7797
4134,11902
4134,10430
4134,637758
4134,5364231
4134,7654
4134,10976
4134,6561
4134,7800
4134,643820
4134,62465
4134,31265
342,7362
342,20653
342,5364399
342,61386
342,12327
342,7762
342,8051
342,6560
342,8468
342,7344
342,8073
342,6054
342,9589
342,8025
342,957
342,5363388
342,8094
342,460
342,7361
342,6584
342,19310
342,7711
342,5318042
342,7749
342,126
342,263
342,8103
342,61814
342,1049
342,9256
342,1136
342,8091
342,326
342,8892
342,379
342,14286
342,11508
342,8038
342,7797
342,11902
342,10430
342,637758
342,5364231
342,7654
342,10976
342,6561
342,7800
342,643820
342,62465
342,31265
1356,7362
1356,20653
1356,5364399
1356,61386
1356,9862
1356,7775
1356,16617
1356,12327
1356,7501
1356,10448
1356,31249
1356,1031
1356,7762
1356,8051
1356,6560
1356,8468
1356,7344
1356,8073
1356,6054
1356,9589
1356,7772
1356,8025
1356,957
1356,5363388
1356,8094
1356,460
1356,7361
1356,6584
1356,19310
1356,7711
1356,10885
1356,7165
1356,5318042
1356,7761
1356,31225
1356,7749
1356,126
1356,263
1356,8103
1356,61814
1356,1049
1356,9256
1356,9895
1356,1136
1356,8091
1356,326
1356,8892
1356,379
1356,14286
1356,8748
1356,638014
1356,11508
1356,8038
1356,7797
1356,11902
1356,10430
1356,83036
1356,637758
1356,5364231
1356,5281167
1356,7654
1356,10976
1356,14228
1356,16255
1356,6561
1356,61384
1356,7800
1356,643820
1356,62465
1356,31284
1356,8908
1356,31265
1356,7658
1356,5364778
4101,7362
4101,20653
4101,5364399
4101,61386
4101,12327
4101,7762
4101,8051
4101,6560
4101,8468
4101,7344
4101,8073
4101,6054
4101,9589
4101,8025
4101,957
4101,5363388
4101,8094
4101,460
4101,7361
4101,6584
4101,19310
4101,7711
4101,177
4101,5318042
4101,7749
4101,126
4101,263
4101,8103
4101,61814
4101,1049
4101,9256
4101,1136
4101,8091
4101,326
4101,8892
4101,379
4101,14286
4101,11508
4101,8038
4101,7797
4101,11902
4101,10430
4101,637758
4101,5364231
4101,7654
4101,10976
4101,6561
4101,7800
4101,643820
4101,62465
4101,31265
607,7362
607,20653
607,5364399
607,61386
607,12327
607,31249
607,7762
607,8051
607,6560
607,8468
607,7344
607,8073
607,6054
607,9589
607,8025
607,957
607,5363388
607,8094
607,460
607,7361
607,6584
607,19310
607,7711
607,7165
607,5318042
607,7749
607,126
607,263
607,8103
607,61814
607,1049
607,9256
607,1136
607,8091
607,326
607,8892
607,379
607,14286
607,11508
607,8038
607,7797
607,11902
607,10430
607,637758
607,5364231
607,7654
607,10976
607,6561
607,7800
607,643820
607,62465
607,31265
1060,6202
1060,31289
1060,644104
1060,8094
1060,8103
1060,31253
1060,6584
1060,6654
1060,8294
1060,643820
1060,1031
1060,7460
1060,6560
1060,1130
1060,6054
1060,14896
1060,31260
167,7795
167,22873
167,20083
167,16617
167,12209
167,12810
167,7284
167,7501
167,5283349
167,7799
167,6560
167,8468
167,284
167,170833
167,11509
167,12613
167,985
167,62572
167,8025
167,6590
167,11527
167,17525
167,6584
167,13187
167,11335
167,16821
167,8052
167,264
167,12587
167,24020
167,7409
167,878
167,8093
167,8103
167,8129
167,12230
167,1049
167,10430
167,7976
167,1549521
167,7945
167,644104
167,8914
167,10976
167,637920
167,10957
167,17100
167,7895
167,7655
167,8842
167,31265
167,18698
167,61386
167,12813
167,7938
167,12327
167,7762
167,8858
167,8122
167,1549026
167,5366074
167,957
167,14296
167,8094
167,338
167,460
167,3776
167,11005
167,61400
167,177
167,1183
167,8139
167,8159
167,11747
167,14896
167,7770
167,26808
167,12293
167,429065
167,9895
167,12580
167,8091
167,8892
167,60983
167,7462
167,27457
167,10886
167,8038
167,7797
167,83036
167,853433
167,8655
167,16666
167,7803
167,17739
167,6998
167,10895
167,16255
167,2879
167,26334
167,11552
167,6561
167,61384
167,7800
167,7341
167,62465
167,7658
167,31283
167,22386
167,5281
167,7775
167,31252
167,679
167,8180
167,18522
167,229888
167,335
167,7765
167,8051
167,18827
167,6054
