amount,unit,recipe_id,ingredient_id
0.5,teaspoon,7155,3
1,teaspoon,7155,19
0.25,cup,7155,33
0.5,cup,7155,25
4.75,cups,7156,34
3,tablespoons,7156,2
2.5,teaspoons,7156,3
1,package,7156,0
1,cup,7156,55
2,tablespoons,7156,37
1.5,cups,7156,137
1,extra large,7156,27
1,tablespoon,7156,40
0.25,cup,7156,44
4,NULL,7158,4
2,cups,7158,2
1.5,cups,7158,229
1,cup,7158,64
1,tablespoon,7158,197
1,cup,7158,10
3,cups,7158,6
1,teaspoon,7158,19
1.5,teaspoons,7158,18
0.5,teaspoon,7158,3
0.25,teaspoon,7158,21
1,cup,7158,25
2.25,teaspoons,7160,0
2,cups,7160,1
2,cups,7160,6
0.25,cup,7160,2
1,cup,7160,2
2,cups,7160,6
2,cups,7160,11
1,NULL,7161,230
1,cup,7161,6
0.25,teaspoon,7161,19
2,teaspoons,7161,7
0.25,teaspoon,7161,3
0.25,cup,7161,10
2,NULL,7162,231
0.666666667,cup,7162,10
2,NULL,7162,4
2,cups,7162,6
1.5,teaspoons,7162,18
0.5,teaspoon,7162,19
2,teaspoons,7162,7
0.5,teaspoon,7162,3
1,cup,7162,2
1,cup,7162,66
1,cup,7162,17
1,cup,7162,22
3,tablespoons,7162,6
1,teaspoon,7162,18
0.25,cup,7162,37
0.5,cup,7162,37
0.25,cup,7162,11
1,cup,7162,22
0.5,cup,7163,225
1.625,cups,7163,6
