,Recipe Name,Prepare Time,Cook Time,Total Time,RecipeID,Servings
178,Pseudo Sourdough for the Bread Machine Recipe ,NULL,NULL,NULL,7240,12
179,Pumpkin Pie Bread Recipe ,15,60,75,7243,24
180,'Aunt Bert''s White Cake Recipe ',NULL,NULL,NULL,7246,18
181,Easy Plain Cake Recipe ,NULL,NULL,NULL,7247,18
182,Peanut Butter Cake I Recipe ,30,40,70,7248,24
183,Sourdough Chocolate Cranberry Cake Recipe ,NULL,NULL,NULL,7249,24
184,'Donna''s Pound Cake Recipe ',30,45,135,7250,14
185,Chocolate Zucchini Cake I Recipe ,NULL,NULL,NULL,7251,18
186,Carrot Cake II Recipe ,20,40,60,7254,18
187,Dirt Cake I Recipe ,NULL,NULL,NULL,7255,10
188,Chocolate Chip Oatmeal Cake Recipe ,NULL,NULL,NULL,7256,24
189,'Pol''s Apple Cake Recipe ',30,70,120,7257,12
190,"'Grandma''s Eggless, Butterless, Milkless Cake Recipe '",NULL,NULL,NULL,7259,18
191,Italian Cream Cake I Recipe ,NULL,NULL,NULL,7260,12
192,Texas Sheet Cake I Recipe ,30,30,60,7261,20
193,Streusel Coffee Cake Recipe ,NULL,NULL,NULL,7262,12
194,Boiled Raisin Cake I Recipe ,30,60,90,7263,12
195,Waldorf Astoria Red Cake Recipe ,NULL,NULL,NULL,7264,20
196,Krazy Kake Recipe ,NULL,NULL,NULL,7265,18
197,Cocoa Apple Cake Recipe ,NULL,NULL,NULL,7266,12
198,Best Cheesecake on Earth Recipe ,30,150,190,7267,12
199,'Grandma Snyder''s Oatmeal Cake Recipe ',NULL,NULL,NULL,7268,18
200,Fabulous Fudge Chocolate Cake Recipe ,NULL,NULL,NULL,7269,24
201,No Bake Cheesecake I Recipe ,30,NULL,120,7270,8
202,Pumpkin Pie Cake I Recipe ,NULL,NULL,NULL,7271,24
203,Awesome Carrot Cake with Cream Cheese Frosting Recipe ,30,40,100,7272,24
204,Chantilly Cake Frosting Recipe ,NULL,NULL,NULL,7273,24
205,Plum Bread Recipe ,20,50,80,7274,16
206,'Mom''s Carrot Cake Recipe ',NULL,NULL,NULL,7275,18
207,Easy Lemon Cake Recipe ,NULL,NULL,NULL,7276,24
208,French Buttercream Frosting Recipe ,NULL,NULL,NULL,7277,12
209,Brownie Torte Recipe ,NULL,NULL,NULL,7278,12
210,The Easiest Chocolate Cake Recipe ,NULL,NULL,NULL,7280,18
211,Chocolate Cherry Cake I Recipe ,NULL,NULL,NULL,7281,18
212,Pecan Pound Cake Recipe ,NULL,NULL,NULL,7282,14
213,Easy Streusel Coffee Cake Recipe ,NULL,NULL,NULL,7283,12
214,Microwave Cake Recipe ,NULL,NULL,NULL,7285,12
215,Creme de Menthe Cake I Recipe ,NULL,NULL,NULL,7286,14
